subject,version,assignmentId,signed_attributes,signed_weights,strategy,comments,consistency,attention,choice_exp,choice_domain,decisionstyle_responses,bidr_responses,acs_responses,mindfulness_responses,selfknowledge_responses,attention_check,gender,age,race,edu,income,nativeEng,mtvScale,total_time,stamp,id
5b89da88bca3400001fa8809,ma_choice_v2_pilot2,"",1,2,I evaluated the features of the house options and chose what I liked the most. ,,100,86,1,72,"82,67,85,87,71,21,9,31,12,6","18,100,1,47,1,57,72,15,66,66,3,61,26,42,100,50","16,2,4,67,20,3,44,3,69,71","78,86,8,3,91,60,16,47,9,54,88,96,26,54","92,74,82,53,32,62,21,24,17,5,85,20",I will complete this study with my full attention.,Male,,White,2 year degree,"$10,000 - $15,000",Yes,I had some core options I preferred but didn't always see so I evaluated the present options with what I wanted in a home. I chose based off the given options and what had a batter rating.,5292026,2021-10-24 20:52:17,56
5d70826012d076001680fbb7,ma_choice_v2_pilot2,"",1,2,"First and foremost, a washer/dryer. That completely dominated my choices, I could overlook location for just being able to do my own laundry at home. Next, Hardwood floors were almost always a must. Carpet makes me sneeze. Next, location, location, location! Being close to the water came first, then cafes, then parks. I prefer older buildings over new, then the rest just basically came down which was offering the most ammenities.",,100,88,2,73,"72,76,69,65,80,62,74,64,83,73","82,90,21,11,81,51,90,16,78,9,88,57,79,19,70,26","50,15,42,62,20,50,85,37,39,91","76,95,25,25,77,54,15,53,5,76,53,78,49,83","76,73,97,26,26,25,25,24,26,24,27,24",I will complete this study with my full attention,Female,,White,2 year degree,"$15,000 - $25,000",Yes,I answered honestly. I wasn't even aware I had one strategy over the other until about half way through,2151176,2021-10-24 20:58:09,57
5daf1d3f8d1f230014c71e21,ma_choice_v2_pilot2,"",1,1,"There wasn't really any one factor that I stuck to consistently. I just took decided based on the overall comparison between things listed in each example. When most everything was identical, natural light may have been the deciding factor. But overall, natural light wasn't high up on my list, compared to some of the other things. It just depended on what was listed, and how everything was in combination.",,60,100,2,67,"100,73,100,88,70,43,61,61,52,42","17,0,13,49,54,83,72,28,21,28,0,0,10,47,100,88","36,33,68,100,33,33,70,0,37,47","50,77,50,25,0,26,53,26,25,74,74,100,49,75","78,76,77,50,51,77,26,50,49,24,0,0",I will complete this study with my full attention.,Male,,White,4 year degree,"$50,000 - $65,000",Yes,"Well it was hard, because I didn't actually weigh one over another, overall. Just in specific examples. I just took everything in combination and then one factor would become the deciding factor, in each example. But that didn't mean it was a deciding factor overall. I didn't have much of a process...it was rather simple...this is the best I can explain it",4325322,2021-10-24 20:58:33,58
5c89b77c65b4d70001b40ac3,ma_choice_v2_pilot2,"",1,2,"Most of it was about things that couldn't be controlled (climate, how close it is to things, etc), the other factors like washing machine can always be added ",,82,72,2,39,"70,51,51,73,39,68,59,64,53,47","21,30,24,29,29,65,48,47,48,27,26,15,71,26,24,20","62,56,54,30,33,65,29,21,32,58","3,53,51,28,69,21,34,51,50,47,19,47,30,48","42,40,68,53,46,29,52,48,38,27,72,32",I will complete this study with my full attention.,Female,,White,Postgraduate/Professional degree/other,"$50,000 - $65,000",Yes,Like I said before it was based on things that were static and really how different they were between the two home ,1430806,2021-10-24 21:05:28,59
5da0d9012a275000127cf814,ma_choice_v2_pilot2,"",2,2,I envisioned myself and my family deciding between the two choices of homes and I also considered what was more desirable in the real estate market.,,87,100,1,66,"97,97,97,96,100,13,9,10,11,9","55,66,54,1,9,66,67,75,64,70,66,64,73,0,50,35","42,39,56,60,50,45,51,49,38,49","93,77,53,34,78,36,48,25,35,64,64,65,50,64","77,96,84,43,43,26,43,15,52,15,4,24",I will complete this study with my full attention.,Male,,White,Postgraduate/Professional degree/other,"$35,000 - $50,000",Yes,"I mostly looked at size, noise pollution, school reputation, and the climate of the area first. I'd say next I looked for ac and how close parks and cafes were. I cared the least about the fireplace, everything else was somewhere in the middle of importance.",2444625,2021-10-24 21:21:56,60
5e07b64554ff2311819e6a02,ma_choice_v2_pilot2,"",1,2,"I have two children, so I mainly focused on schools, bedrooms, and climate.",,100,100,1,83,"77,72,74,74,94,45,47,33,31,41","55,44,92,4,99,49,26,99,15,52,3,3,3,52,99,50","94,99,97,67,33,35,71,70,72,72","91,3,54,55,48,3,99,51,20,77,32,3,75,77","53,46,21,79,78,54,31,49,48,2,74,49",I will complete this study with my full attention.,Female,,White,High school,"$15,000 - $25,000",Yes,"I mainly focused on what would affect my children. So, bedrooms, climate, schools.",2254530,2021-10-24 21:31:24,61
5e84765c7206730182a6f738,ma_choice_v2_pilot2,"",1,1,"I thought about the things i value most at this point in my life...more sunlight, low noise, and a garage for my vehicle. I know the perfect place doesn't exist, so thinking about these items in various different levels of availability is the same process I would use if I were actually looking for a place to live. ",,75,98,1,85,"85,86,82,81,87,40,16,55,50,21","86,0,93,0,99,0,46,19,82,9,91,77,81,41,43,43","92,88,87,73,30,89,96,60,23,15","31,26,62,78,11,9,17,73,89,50,75,26,60,25","34,63,63,63,43,37,55,70,61,45,0,0",I will complete this study with my full attention.,Female,,White,4 year degree,"$50,000 - $65,000",Yes,"I thought about most of the items with similar weight, although it was difficult when the information was different between to trials to stay consistent. ",2072385,2021-10-24 21:34:32,62
5e48d3d8b26b05361ff522f2,ma_choice_v2_pilot2,"",2,2,I mostly made choices based on central AC,,99,100,2,35,"70,74,73,76,77,75,85,73,75,73","11,59,62,65,74,74,75,12,29,24,31,28,27,100,79,72","80,84,11,12,14,73,74,76,81,79","0,22,49,17,66,63,65,66,76,71,6,76,69,11","75,77,71,85,85,84,0,78,30,23,54,68",I will complete this study with my full attention,Female,,Asian,4 year degree,"$10,000 - $15,000",Yes,"I compared the overall choices. For example, I weighed my opinions with the most choices that I agreed for the criteria.",2861587,2021-10-24 21:41:20,63
5d0013150a615c0001bae539,ma_choice_v2_pilot2,"",1,2,"I weighed the values of the different categories and how important they were to me. For example, I'm in my twenties and don't want kids anytime soon, maybe never, so I did not care at all about whether the schools in the area were good. But physical comfort, like having an AC, was incredibly important to me. I also involved my aesthetic preferences, like prioritizing a lot of natural light and the oldness of a building (I like old architecture). ",,76,75,1,67,"94,91,89,89,90,63,72,73,69,81","38,26,82,11,71,53,83,3,81,3,9,5,68,4,21,5","60,54,77,37,29,10,67,16,67,64","31,47,5,66,45,72,10,21,34,71,56,85,50,59","91,84,85,50,50,25,78,26,50,51,87,65",I will complete this study with my full attention,Female,,White,4 year degree,"Under $5,000",Yes,"I recalled which factors I prioritized. AC was number one priority, and I generally chose the house with that over the other one despite any other factors. Then I went through my next priorities, and so on. ",2458873,2021-10-24 21:46:13,64
5dd06a074ad3e2149c884661,ma_choice_v2_pilot2,"",2,2,"I eliminated the categories that were the same for each home and then went line by line comparing the differences, usually, there was one choice that had what I would consider too difficult to live with in comparison to the other.  I didn't put a lot of emphasis on hardwood floors, freshly painted exterior, or even the age of the building.  My main emphasis was on things that would make life more bearable such as A/C or washer/dryer.  School quality wasn't too important to me because I don't have children, but if it was listed as ""bad"" or ""very bad"" I generally rejected the home believing that it would be located in a bad part of town.",,65,100,3,23,"97,87,97,99,86,43,58,37,48,38","39,68,63,26,61,71,80,16,49,82,48,95,55,62,95,41","31,21,35,18,68,16,63,35,20,22","92,88,19,43,61,68,23,7,38,23,98,76,26,54","78,88,74,40,16,26,37,34,23,11,18,16",I will complete this study with my full attention.,Male,,White,2 year degree,"$35,000 - $50,000",Yes,"Most of the choices were related to how they would benefit my well-being, or at least how they would contribute to making the living situation more bearable.  A/C is almost a must anymore, a washer and dryer make things so much more convenient.  A fireplace is nice to have but not a necessity, being close to a beach would be nice, but a thirty-minute drive would be no big deal.  The size of the home was somewhat important in that I didn't want something tiny but I didn't want something enormous either.  One of the biggest deciding factors for me was noise pollution, life is so much more pleasant for me in quiet surroundings.",2880958,2021-10-24 21:57:51,65
5f557058f325f713d247001c,ma_choice_v2_pilot2,"",1,2,"In Part 1 of this study, I made my choices by first evaluating the characteristics' desirability and assigning a weighted value to each. Next, I would check each house's characteristic against each other, looking for values that were equal, lesser, or greater. For example, if the houses had the natural light, yard size, and school quality characteristics, I would first determine that I desire better natural light regardless of the other two characteristics (assign a higher value to it than the others) and then check the houses' characteristics against each other to determine an outcome. If a pair had multiple characteristics that I weighed evenly, I would tie-break based on the cumulative outcome.",,87,100,1,33,"100,100,100,100,100,68,32,25,34,63","51,76,81,1,100,15,75,4,72,48,88,2,75,5,48,51","88,68,0,67,68,7,100,18,59,68","23,51,50,20,75,24,50,80,5,74,54,3,24,77","77,75,77,62,24,25,72,61,60,23,75,25",I will complete this study with my full attention.,Other,,White,2 year degree,"$10,000 - $15,000",Yes,I compared how I felt about one factor over another and if I enjoyed the positive of that factor or the negative (a lack).,1828086,2021-10-24 22:03:52,66
5f2db9cc2858dd0d9f634581,ma_choice_v2_pilot2,"",1,2,I picked the things I could live with or deal with for an extended amount of time.,,75,88,5,100,"90,74,93,56,100,26,6,7,17,2","60,8,29,0,44,11,7,76,12,69,8,18,40,47,100,51","31,35,32,34,52,39,64,76,46,42","21,0,50,37,31,19,96,48,53,23,55,0,45,29","24,48,25,66,65,77,48,51,100,100,56,64",I will complete this study with my full attention.,Female,,White,Postgraduate/Professional degree/other,"$50,000 - $65,000",Yes,I thought about my choices and answered honestly.,1470992,2021-10-24 22:07:53,67
5dd72efa82569a6d38e06854,ma_choice_v2_pilot2,"",1,2,I mostly looked at a few factors and compared them to see which home had more of what I thought was really important. If they were very similar I defaulted to using the square footage to make a decision.,,100,100,2,86,"100,100,99,97,93,56,0,0,0,0","51,52,27,0,80,0,0,36,0,13,0,17,21,24,97,93","14,10,33,33,34,1,32,0,66,54","76,78,48,50,50,55,24,25,54,49,61,51,75,27","75,75,75,78,78,74,77,23,0,0,0,0",I will complete this study with my full attention.,Female,,White,4 year degree,"Over $100,000",Yes,I mean I sort of had some top priorities and it came down to which house sort of checked most of the boxes rather than having one feature. So if a home had two priorities vs one I would always choose the home with the greatest amount of attributes I wanted and not necessarily the qualities of them except for proximity to water. I would always choose the home with the shortest distance to water.,2121267,2021-10-24 22:08:29,68
5c548e119dd9950001aced19,ma_choice_v2_pilot2,"",1,2,I really made my choices based upon a combination of factors rather than any single factor. Things like Central A/C factored into my decisions but bedrooms not necessarily because while I am single right now I many have a family soon. It couldn't hurt to have a small family-ready home. I didn't pay much attention to school quality but I want good schools and I would only raise children in an area with good schools. ,,74,86,5,69,"84,79,89,100,88,22,32,32,28,28","80,7,90,2,93,28,22,4,88,33,100,99,38,84,18,82","39,52,79,38,72,61,55,62,39,58","20,52,97,100,98,16,94,66,82,34,55,42,52,41","51,65,55,72,98,98,76,99,64,46,61,48",I will complete this study with my full attention.,Male,,White,4 year degree,"$65,000 - $80,000",Yes,It really depended on the houses and the scenario in my mind at time. I chose nature a lot because it is very important to me. Beach as well. It is just what I like. ,1907099,2021-10-24 22:09:17,69
6048622d518a190008dfbe38,ma_choice_v2_pilot2,"",1,2,"I made my choices based on three of the characteristics of the houses: the climate of the area, quality of schools, and AC. If one or more of these were positive, I went with that house. The size of the house and other aspects of the houses didn't matter as much to me compared to living in a relatively safe area with good schools.",,87,88,3,56,"79,87,83,86,87,35,45,40,37,20","89,50,94,9,67,87,79,52,62,11,32,52,9,14,82,50","70,36,84,70,42,4,75,32,84,74","81,76,56,90,57,29,8,24,56,76,81,84,83,93","54,75,90,30,30,24,50,35,25,46,23,21",I will complete this study with my full attention.,Male,,"Hispanic, Latinx, or Spanish origin",4 year degree,"$15,000 - $25,000",Yes,I weighed one factor over another based on what living place had more of compared to the other.,1641622,2021-10-24 22:09:24,70
5d4a1c04bddc8a001532cb06,ma_choice_v2_pilot2,"",2,2," Size of home first, as I don't have kids or want to clean a 2000 sq ft house, then followed by noise pollution and climate as I would like to be able to enjoy a bit of outdoor relaxing on a patio and have less noise",,77,98,2,80,"86,85,86,84,85,31,17,28,28,32","1,89,0,19,7,100,88,2,2,13,3,4,17,70,1,96","18,15,35,75,11,11,81,16,86,74","32,92,12,2,67,52,4,4,4,9,28,79,13,65","82,78,78,24,28,27,28,24,51,24,26,25",I will complete this study with my full attention,Female,,White,4 year degree,"$25,000 - $35,000",Yes,by considering which factors where the most important to a discision,1296339,2021-10-24 22:10:00,71
5aabd17644adc700014c8621,ma_choice_v2_pilot2,"",2,2,Kinda weighed each category and just picked based off what felt right. It really depends sometimes one thing weighed higher depending on what the other houses had,,37,100,1,83,"100,100,100,100,100,54,64,57,50,40","53,53,77,67,3,81,79,50,3,78,1,2,3,77,100,52","33,31,29,68,33,28,68,31,64,69","72,79,24,50,73,77,52,20,3,79,79,77,47,56","75,74,78,22,22,22,21,23,23,22,25,24",I will complete this study with my full attention,Male,,White,Postgraduate/Professional degree/other,"Over $100,000",Yes,Just based on my gut and what my family structure is,2189501,2021-10-24 22:11:23,72
5fef6eebbf7c822b2cff43e0,ma_choice_v2_pilot2,"",2,2,"I made my choices based off of my preference for good climate, washer and dryer, and low noise pollution. I also, preferred new buildings with less natural light and a central a/c unit.",,75,100,2,50,"51,100,100,100,100,19,18,19,19,19","18,100,34,32,30,100,100,30,8,100,4,6,17,52,100,100","6,12,10,100,7,11,66,11,100,100","75,75,23,22,49,50,5,6,22,75,74,76,23,51","48,49,77,1,2,3,3,4,2,3,23,5",I will complete this study with my full attention.,Female,,Black or African American,4 year degree,"$65,000 - $80,000",Yes,I answered these questions by weighing the differences and how much it would affect me such as closeness to a restaurant or to the beach. I mostly focused on the close proximity.,4389802,2021-10-24 22:12:31,73
5d45e9143c5a360019b1bd3c,ma_choice_v2_pilot2,"",2,2,"I made choices first based on the reputation of the closest school. After that, all other qualities were taken into consideration, such as AC and climate.",,93,100,1,54,"100,100,100,100,100,29,29,36,34,34","10,82,0,0,5,53,64,100,41,32,100,31,17,100,92,93","48,23,86,28,77,5,100,33,86,31","53,78,18,53,87,92,7,19,54,74,98,89,61,79","96,100,96,65,24,61,25,0,0,0,0,0",I will complete this study with my full attention.,Female,,White,4 year degree,"$15,000 - $25,000",Yes,"I answered that I considered foremost the reputation of the school. All other attributes were considered afterwards. If the other features were better, then possible a lower rated school could win out, but the difference in reputation of the school had to be very slight.",1919288,2021-10-24 22:13:00,74
58cbd0a55d42920001414dd3,ma_choice_v2_pilot2,"",2,2,"I always started at the top and went down the list moving my arrow cursor to the home I liked more based on factors that I thought were more important and how much I weighed that importance in my head. If I saw something that was very determinate like if it had AC or how the climate of the area was, I would more quickly make my decision. Sometimes an important item might weigh less if there isn't much of a difference, like if Climate of area was between moderate and good I might not weigh as much importance to that factor depending on the other variables. Once I determined which house I wanted I would quickly out loud say why certain positive factors on the house I did not pick were outweighed by the positive factors on the house that I did pick just to confirm in my head my choice and to make it easier for the part that came after part one where I needed to describe which choices factored in more in my decision.",,88,100,1,33,"100,100,100,100,100,0,3,3,0,0","50,0,77,0,100,50,24,100,83,0,0,15,100,100,100,100","0,7,32,67,6,33,34,32,67,66","50,49,24,75,50,24,52,23,49,49,74,50,75,48","77,100,49,23,23,0,0,0,0,0,0,0",I will complete this study with my full attention.,Male,,White,Some college,"$5,000 - $10,000",Yes,"I thought about how I would live in this house and what I would enjoy more over the other factors. So for instance I do not have children and am not planning on having them so school performance weighed very low on my list of factors, however noise pollution weighed quite high on my factors as I consider this to be an important part to enjoying a home. However, if central AC was an option then that one would outweigh every other factor including something like noise pollution because I consider it to be the most important factor in my enjoyment of a home. Sometimes if a factor was close to another factor then it would weigh in less importance, like if noise pollution was between low and very low then I would weigh is a lot less against a normally less important factor like size of yard.",4022478,2021-10-24 22:16:09,75
5f8998f6bfe9d6067c4b8a72,ma_choice_v2_pilot2,"",1,2,"I calculated which house would be better based on the importance I give on the characteristics shown.
There was always a characteristic that I valued more on one of them.",,91,96,1,66,"100,63,96,84,82,17,15,19,61,34","70,28,14,2,72,95,27,100,73,4,30,11,77,4,23,51","100,100,83,73,68,72,76,83,84,85","24,33,57,4,56,37,77,52,73,51,92,31,57,85","78,87,78,81,72,64,71,26,77,26,16,23",I will complete this study with my full attention.,Female,,White,2 year degree,"$35,000 - $50,000",Yes,"I answered based on the way that I give importance to those factors, since I don't care much for example for a fireplace it was something that I would do without",1954682,2021-10-24 22:17:18,76
5dd78dc3238a9171fbd93f22,ma_choice_v2_pilot2,"",1,2,"my two most important choices are the AC, it has to have an Ac and then washer and dryer. if neither of them was present then i look to the size or the number of bedrooms. the beaches dont matter, i actually dont care living by the beach because the tourist and beaches be the worst, and the traffic be the worst, i rather live near a park or a cafe. school has no impact on my decision because i dont have school age kids and i really dont wanna live in a area with a bunch of kids with that being said i rather live in a area with good schools with more after school activites to keep the kids from getting in trouble",,100,100,1,100,"100,79,66,100,68,76,100,100,100,50","2,100,2,100,6,100,100,4,44,51,49,3,9,97,100,100","73,1,4,100,17,68,84,4,99,100","95,77,3,49,51,81,6,19,18,99,98,100,4,99","53,84,99,0,3,50,51,17,43,20,6,6",I will complete this study with my full attention.,Female,,"Hispanic, Latinx, or Spanish origin",Some college,"$10,000 - $15,000",Yes,"if the house doesnt have an ac i probably dont wanna live in it, i have a condition where i cant control my own body temp, it is called Uhthoffs syndrome, so AC is the whole complete deciding factor for me",3124944,2021-10-24 22:25:35,77
5d5185e4cbc535001a298bcf,ma_choice_v2_pilot2,"",1,1,"what would be most comfortable, healthiest, and convenient locations.  Not to close to parks or beaches due to noise or traffic.  ",,79,76,1,37,"100,97,76,75,73,59,61,48,40,39","59,79,80,16,50,31,54,3,77,88,45,23,81,48,93,49","68,52,32,48,37,6,89,7,88,87","28,56,52,1,1,2,24,24,9,79,75,50,52,79","52,76,71,48,52,50,73,35,47,52,27,50",I will complete this study with my full attention,Female,,White,2 year degree,"Over $100,000",Yes,"the area, hardwood floors, central air, fireplaces were of interest to me",3636558,2021-10-24 22:26:25,78
5f98a6f472208c1bac70c2c2,ma_choice_v2_pilot2,"",2,2,"I had qualities that I cared about the most, for example washer/dryer, noise pollution, size, and natural light. Provided that those qualities were not all available, I typically selected the option that has the most of those choices available. If those qualities were all available in a single option, then I would consider less important qualities like A/C or the size of a yard. ",,75,96,2,33,"70,73,75,77,75,37,35,34,36,35","2,17,1,8,9,38,82,5,21,6,2,3,2,51,86,51","2,34,1,67,33,2,69,3,69,71","78,76,3,3,74,74,3,3,2,55,78,79,2,35","100,100,100,26,24,5,5,5,3,4,3,5",I will complete this study with my full attention.,Female,,White,Postgraduate/Professional degree/other,"$35,000 - $50,000",Yes,"I reported honestly about the qualities that I considered to be of more importance, like space, natural lighting, noise pollution, and a washer/dryer. Those are factors that I think add to the value of a home to rent, to me. Some options I considered less and gave less weight to when evaluating the options. ",5069499,2021-10-24 22:27:53,79
5bb2e60526f5300001ebf51b,ma_choice_v2_pilot2,"",2,2,"Skimmed over each column, looked for more ""yes"" and if it was about even then I would look at the proximity to the water and natural light. Those are most important to me.",,72,68,2,91,"100,100,100,100,100,37,36,37,65,56","87,26,74,8,69,15,33,15,37,4,49,22,2,4,4,2","100,100,100,35,100,100,27,51,50,47","24,100,100,100,100,100,74,100,100,100,100,100,4,53","98,95,100,100,100,100,100,100,100,100,95,82",I will complete this study with my full attention.,Female,,White,4 year degree,"$25,000 - $35,000",Yes,"I looked for the ones with the closest proximity to the water and also natural light. If the same, looked for more yes than no. ",1248822,2021-10-24 22:28:56,80
5d1d5027558790001a6d4dea,ma_choice_v2_pilot2,"",2,1,"I looked to see if the houses had the attributes I wanted, and if they did, I weighed the negatives of the houses compared to what good things they have.",,99,100,2,75,"78,93,100,92,100,7,29,35,86,15","16,59,71,14,51,69,84,8,2,2,3,3,57,38,100,86","42,60,100,7,33,73,52,12,19,19","81,87,15,9,69,70,24,53,47,48,83,72,78,38","77,70,50,24,68,26,17,27,6,20,20,29",I will complete this study with my full attention.,Male,,White,Some college,"$15,000 - $25,000",Yes,"It is very important and I ranked the factors on how much I desired them and if one house had more of my top attributes than the other, I chose that one.",1350036,2021-10-24 22:44:52,81
5dd3269b7df219338fb2d3c4,ma_choice_v2_pilot2,"",1,2,I tried to select the house with the most amount of choices that fit my needs.,,88,98,1,67,"89,85,83,83,83,54,48,47,50,44","16,45,36,69,55,89,78,6,51,50,48,35,71,47,11,43","32,23,33,67,37,33,56,53,63,67","30,26,23,26,39,27,65,43,18,43,28,43,18,44","51,75,74,31,30,30,27,26,30,23,32,25",I will complete this study with my full attention,Male,,White,High school,"$50,000 - $65,000",Yes,What made the most sense for my family,1436601,2021-10-24 22:49:07,82
