subject,version,assignmentId,signed_attributes,signed_weights,full_or_lex,confidence,strategy,metastrategy,consistency1,consistency2,appropriateness,attention,choice_exp,choice_domain,meditation_exp1,meditation_exp2,meditation_exp3,decisionstyle_responses,bidr_responses,acs_responses,mindfulness_responses,sris_responses,maia_responses,icar_responses,icar_correct,icar_num_correct,scale_rts,question_rts,attention_check,gender,age,race,edu,income,nativeEng,feedback,instructions_times,total_time,stamp,id
5f09f9a38bf3690ea1c20c96,ma_choice_v3_followup_real1,5f09f9a38bf3690ea1c20c96,,,,,,,,,,,,,,,,"4,4,3,4,4,2,3,2,2,1",,"0,0,0,2,2,0,0,0,2,1,0,0,2,1,1,1,2,2,1,1","3,3,2,2,2,0,0,2,1,2,3,2","2,3,4,1,3,4,1,4,4,3,4,4,5,1,5,2,1,1,1,5","5,3,3,3,3,3,3,5,3,4,4,4,4,4,4,2,4,2,3,5,4,4","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""57"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""E"",""LN.34"":""T"",""LN.58"":""I"",""MX.45"":""D"",""MX.46"":""C"",""MX.47"":""D"",""MX.55"":""B"",""R3D.3"":""H"",""R3D.4"":""E"",""R3D.6"":""G"",""R3D.8"":""G""}","[""LN.7"",""R3D.8"",""VR.4"",""VR.16"",""VR.19""]",5,"{""mindfulness"":49297.69999998808,""maia"":93734,""sris"":77229.29999999702,""decisionstyle"":32843.5,""acs"":102709.80000001192,""icar"":628144.3999999911}",,,,,,,,,None.,"[3676.0999999940395,20982.5,15267.5,6718.29999999702,17722.10000000894,5427.899999991059]",1879631,2022-01-28 16:53:58,274
5c3d4b92486a390001e87dfe,ma_choice_v3_followup_real1,5c3d4b92486a390001e87dfe,,,,,,,,,,,,,,,,"4,2,4,4,4,2,3,2,2,2",,"0,0,0,3,3,0,0,1,2,2,1,0,1,1,1,0,3,2,1,0","2,1,1,1,3,0,0,3,2,3,3,3","0,0,5,0,4,4,0,5,5,5,5,5,4,3,5,0,1,0,1,4","4,4,4,5,4,3,2,3,4,3,4,3,4,5,4,1,4,5,3,4,3,4","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Saturday"",""LN.7"":""W"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""H"",""MX.45"":""C"",""MX.46"":""B"",""MX.47"":""B"",""MX.55"":""D"",""R3D.3"":""E"",""R3D.4"":""H"",""R3D.6"":""F"",""R3D.8"":""C""}","[""LN.33"",""LN.34"",""MX.46"",""MX.47"",""MX.55"",""R3D.6"",""VR.4"",""VR.16"",""VR.17""]",9,"{""mindfulness"":41134.89999999851,""maia"":86642.80000000075,""decisionstyle"":31630.699999999255,""sris"":60981.800000000745,""acs"":82856.69999999925,""icar"":1198382.1000000015}",,,,,,,,,"Not a fan of the flashing star that didn't always have the same function! LOL, and you allowed me to revisit why my total IQ score is always dragged down by shape questions - thanks for that. :-)

Otherwise, as before, the activity becomes meditative after awhile which I appreciate.

Of note - an excellent therapist some years back helped me to actively pay attention to my body to recognize symptoms of stress I had previously not noticed at all, being rather cerebral and hyper-focused. Learning to do that was life-changing - now I notice when my jaws clench or my stomach hurts and immediately apply soothing activities, whether or not I can identify the source intellectually.

Thanks for including me in this interesting study!","[3607.300000000745,16913.699999999255,22643.800000000745,7148.199999999255,21446.5,6187.5]",2691864,2022-01-28 16:54:07,275
5d1e5ece2e9ac30016b522c5,ma_choice_v3_followup_real1,5d1e5ece2e9ac30016b522c5,,,,,,,,,,,,,,,,"1,1,1,4,1,4,2,3,4,3",,"0,1,1,2,2,1,0,0,2,3,0,0,2,1,0,0,0,3,2,1","3,1,3,2,2,0,0,3,2,3,3,3","0,0,5,1,5,5,0,5,4,3,5,4,4,0,3,0,1,4,0,5","4,5,4,4,5,3,5,3,5,5,4,5,4,4,3,5,3,4,4,3,4,5","{""VR.4"":""5"",""VR.16"":""Richard is as tall as Matt"",""VR.17"":""47"",""VR.19"":""Saturday"",""LN.7"":""W"",""LN.33"":""J"",""LN.34"":""Z"",""LN.58"":""M"",""MX.45"":""E"",""MX.46"":""E"",""MX.47"":""E"",""MX.55"":""D"",""R3D.3"":""G"",""R3D.4"":""G"",""R3D.6"":""F"",""R3D.8"":""F""}","[""MX.45"",""MX.55"",""R3D.6"",""VR.4"",""VR.17""]",5,"{""sris"":29036,""maia"":26940.800000000745,""mindfulness"":12738.300000000745,""acs"":29000.199999999255,""decisionstyle"":14654.799999998882,""icar"":20439.300000000745}",,,,,,,,,It took about 45 minutes.,"[1703.2999999988824,5262.700000001118,2906.5999999996275,3463.2999999988824,2825.800000000745,1258.800000000745]",2647759,2022-01-28 16:56:48,276
61002caab8bc99b527252504,ma_choice_v3_followup_real1,61002caab8bc99b527252504,,,,,,,,,,,,,,,,"2,2,2,3,2,2,1,1,1,3",,"3,1,1,1,0,3,1,3,1,0,3,1,0,0,1,3,1,0,0,1","2,1,1,1,0,1,1,0,0,1,1,1","2,2,5,3,4,5,1,5,5,5,3,5,3,3,2,5,5,4,3,3","3,5,2,4,3,3,2,3,3,3,3,5,3,5,3,4,4,2,4,3,3,4","{""VR.4"":""7"",""VR.16"":""It is impossible to tell"",""VR.17"":""57"",""VR.19"":""Tuesday"",""LN.7"":""V"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""M"",""MX.45"":""C"",""MX.46"":""C"",""MX.47"":""D"",""MX.55"":""D"",""R3D.3"":""C"",""R3D.4"":""D"",""R3D.6"":""E"",""R3D.8"":""E""}","[""LN.33"",""LN.34"",""MX.55"",""R3D.3"",""VR.16""]",5,"{""sris"":74075.29999999981,""decisionstyle"":80699.20000000019,""maia"":88635.6000000001,""acs"":83361.20000000019,""mindfulness"":39888.19999999972,""icar"":207814}",,,,,,,,,The last part with the shapes. I don't really understand the purpose behind it and why it is so difficult. I wasn't keeping track of time so I'm not sure how long I took on each section.,"[3875.100000000093,11198.899999999907,6849.90000000014,13900.09999999986,19782.699999999953,5453.800000000047]",1627195,2022-01-28 16:57:14,277
57d0badf28d5250001bdd9d2,ma_choice_v3_followup_real1,57d0badf28d5250001bdd9d2,,,,,,,,,,,,,,,,"4,4,4,4,4,2,1,1,0,0",,"1,1,1,2,2,1,0,0,1,3,0,1,2,2,1,0,2,2,2,0","2,0,0,3,1,1,0,1,0,0,3,1","0,0,0,0,3,3,5,2,2,0,5,5,4,5,0,3,0,0,5,0","5,5,5,1,1,0,3,4,3,1,2,3,3,4,0,0,0,0,0,5,5,0","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""57"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""I"",""MX.45"":""D"",""MX.46"":""B"",""MX.47"":""D"",""MX.55"":""B"",""R3D.3"":""G"",""R3D.4"":""G"",""R3D.6"":""A"",""R3D.8"":""B""}","[""LN.7"",""LN.33"",""LN.34"",""MX.46"",""VR.4"",""VR.16"",""VR.19""]",7,"{""acs"":248201.40000009537,""decisionstyle"":97415.20000004768,""mindfulness"":59763.799999952316,""maia"":283058.39999985695,""sris"":145921.59999990463,""icar"":658802.7000000477}",,,,,,,,,"no, 57d0badf28d5250001bdd9d2","[5349.200000047684,25303,10317.200000047684,20660,20481.89999985695,72228.10000014305]",2458075,2022-01-28 16:58:20,278
596bac33670f410001fe9c07,ma_choice_v3_followup_real1,596bac33670f410001fe9c07,,,,,,,,,,,,,,,,"2,4,4,2,4,3,3,3,3,3",,"2,1,1,2,0,3,1,2,1,1,1,2,2,0,3,1,1,1,2,1","1,1,1,1,0,1,1,2,2,2,2,1","1,3,3,1,3,4,1,4,3,4,4,3,5,4,3,4,3,1,2,4","5,4,3,4,1,1,3,2,3,3,3,4,5,4,4,3,3,3,3,3,3,4","{""VR.4"":""5"",""VR.16"":""Richard is shorter than Matt"",""VR.17"":""57"",""VR.19"":""Monday"",""LN.7"":""X"",""LN.33"":""F"",""LN.34"":""X"",""LN.58"":""H"",""MX.45"":""E"",""MX.46"":""B"",""MX.47"":""F"",""MX.55"":""B"",""R3D.3"":""G"",""R3D.4"":""G"",""R3D.6"":""A"",""R3D.8"":""E""}","[""LN.7"",""LN.34"",""MX.45"",""MX.46"",""VR.4""]",5,"{""maia"":132731,""sris"":91936,""acs"":263614,""decisionstyle"":85774,""mindfulness"":77237,""icar"":661572}",,,,,,,,,Instructions were very clear. Thanks!,"[2196,105858,4636,1933,5583,2236]",2222486,2022-01-28 16:58:30,279
608ecc26e4c76e93f4e1afe3,ma_choice_v3_followup_real1,608ecc26e4c76e93f4e1afe3,,,,,,,,,,,,,,,,"3,3,3,4,4,2,2,3,2,2",,"1,0,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,1","1,2,1,1,1,1,1,1,1,2,1,1","0,0,4,0,5,5,1,5,5,5,5,5,4,2,4,2,1,2,2,3","4,4,4,4,3,4,2,4,2,3,4,4,5,4,4,4,4,4,4,4,3,3","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Saturday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""T"",""LN.58"":""J"",""MX.45"":""E"",""MX.46"":""B"",""MX.47"":""D"",""MX.55"":""D"",""R3D.3"":""H"",""R3D.4"":""C"",""R3D.6"":""G"",""R3D.8"":""D""}","[""LN.7"",""LN.33"",""MX.45"",""MX.46"",""MX.55"",""VR.4"",""VR.16"",""VR.17""]",8,"{""sris"":87392,""mindfulness"":48056,""acs"":114798,""decisionstyle"":49615,""maia"":101440,""icar"":1335142}",,,,,,,,,It took about as much time as was indicated.,"[3285,15898,7930,23829,11641,5372]",2731961,2022-01-28 17:01:18,280
59d5c894c732930001d88b5e,ma_choice_v3_followup_real1,59d5c894c732930001d88b5e,,,,,,,,,,,,,,,,"2,4,3,2,3,4,3,3,4,3",,"2,0,1,1,1,2,2,2,2,1,1,2,3,2,2,1,1,2,3,1","2,2,3,2,2,1,1,2,1,3,2,1","0,1,4,1,5,1,0,4,4,4,3,4,5,2,4,4,2,1,5,5","4,5,4,3,3,4,5,4,3,4,5,4,3,5,5,2,5,3,3,5,3,2","{""VR.4"":""3"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""W"",""LN.33"":""E"",""LN.34"":""X"",""LN.58"":""I"",""MX.45"":""C"",""MX.46"":""E"",""MX.47"":""B"",""MX.55"":""E"",""R3D.3"":""F"",""R3D.4"":""D"",""R3D.6"":""A"",""R3D.8"":""F""}","[""LN.34"",""MX.47"",""VR.16"",""VR.17"",""VR.19""]",5,"{""maia"":90888.90000000596,""sris"":160071.09999999404,""mindfulness"":106476.60000002384,""acs"":96670,""decisionstyle"":29237.09999999404,""icar"":798109}",,,,,,,,,none,"[2496.699999988079,12237.40000000596,8376.59999999404,3073.800000011921,17465.90000000596,3730.0999999940395]",2397767,2022-01-28 17:01:18,281
5bad8fc39c0cc900017a6a28,ma_choice_v3_followup_real1,5bad8fc39c0cc900017a6a28,,,,,,,,,,,,,,,,"3,3,3,3,4,2,1,2,2,2",,"0,0,0,1,2,0,0,1,2,2,0,1,2,2,0,1,2,1,2,1","3,2,1,0,1,1,2,1,0,1,2,3","3,3,2,3,2,5,4,4,1,2,2,1,2,2,3,2,0,0,2,2","0,5,4,5,3,3,1,2,1,3,2,5,2,4,3,4,3,0,0,5,3,3","{""VR.4"":""5"",""VR.16"":""Richard is as tall as Matt"",""VR.17"":""47"",""VR.19"":""Monday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""U"",""LN.58"":""H"",""MX.45"":""E"",""MX.46"":""A"",""MX.47"":""B"",""MX.55"":""D"",""R3D.3"":""E"",""R3D.4"":""G"",""R3D.6"":""E"",""R3D.8"":""B""}","[""LN.7"",""LN.33"",""MX.45"",""MX.47"",""MX.55"",""VR.4"",""VR.17""]",7,"{""acs"":137446.89999985695,""maia"":139467.20000004768,""sris"":112236,""mindfulness"":77732.30000019073,""decisionstyle"":76133,""icar"":581053.9000000954}",,,,,,,,,The time felt short.,"[12022.400000095367,46824.09999990463,36623.799999952316,38760,24335.900000095367,10504]",2461197,2022-01-28 17:11:20,282
5d63179aa3b94d0001da4bb6,ma_choice_v3_followup_real1,5d63179aa3b94d0001da4bb6,,,,,,,,,,,,,,,,"3,3,3,3,3,1,1,1,2,2",,"0,0,0,3,2,1,0,0,2,3,1,1,1,2,1,1,3,2,2,1","3,0,1,3,3,0,1,3,3,3,3,2","1,1,3,2,4,3,1,4,4,4,4,4,4,0,4,1,0,0,0,4","4,5,3,5,5,2,5,2,2,5,5,3,4,3,5,3,4,0,3,5,4,4","{""VR.4"":""3"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Monday"",""LN.7"":""X"",""LN.33"":""J"",""LN.34"":""X"",""LN.58"":""H"",""MX.45"":""F"",""MX.46"":""C"",""MX.47"":""C"",""MX.55"":""E"",""R3D.3"":""H"",""R3D.4"":""H"",""R3D.6"":""H"",""R3D.8"":""H""}","[""LN.7"",""LN.34"",""VR.16"",""VR.17""]",4,"{""sris"":69234.90000009537,""mindfulness"":25556.5,""acs"":60551.199999809265,""decisionstyle"":26287.799999952316,""maia"":56622.299999952316,""icar"":205022.59999990463}",,,,,,,,,Timing was about right.,"[2108.899999856949,8716.800000190735,7859.599999904633,3752.2999999523163,12093.900000095367,4679]",1349513,2022-01-28 17:16:44,283
